employee_id,slack_id,name,rank,employment_type,email,password,phone_number,address,hire_date,tenure,age,gender,reserve_military,family_info,child_info,child_age,home_ownership
352,351,김성현,RANK06,TYPE01,김성현.unknown352@company.com,1234,02-2023-3856,서울특별시 동대문구 이문동,2020-12-25,4,22,GEN02,MIL01,FAM01,0,[],HOME01
112,111,오예지,RANK06,TYPE01,오예지.unknown112@company.com,1234,041-861-1547,서울특별시 구로구 가리봉동,2021-06-04,3,50,GEN01,MIL01,FAM02,3,"[17, 8, 1]",HOME01
223,222,김윤서,RANK06,TYPE01,김윤서.unknown223@company.com,1234,033-856-6182,서울특별시 노원구 상계동,2024-04-02,0,47,GEN01,MIL01,FAM01,0,[],HOME02
327,326,최은경,RANK06,TYPE01,최은경.unknown327@company.com,1234,054-964-7667,서울특별시 종로구 묘동,2021-12-04,3,41,GEN02,MIL01,FAM02,0,[],HOME02
178,177,나동현,RANK06,TYPE01,나동현.unknown178@company.com,1234,019-864-5392,서울특별시 마포구 아현동,2019-04-02,5,43,GEN01,MIL01,FAM01,0,[],HOME02
1,0,송영빈,RANK06,TYPE01,송영빈.unknown001@company.com,1234,032-272-8975,서울특별시 강서구 외발산동,2023-05-13,1,51,GEN01,MIL01,FAM01,0,[],HOME02
17,16,백옥자,RANK05,TYPE01,백옥자.unknown017@company.com,1234,017-633-3376,서울특별시 강서구 공항동,2017-08-05,7,48,GEN01,MIL01,FAM02,3,"[1, 3, 6]",HOME02
14,13,이성진,RANK05,TYPE01,이성진.unknown014@company.com,1234,053-921-8560,서울특별시 강서구 방화동,2021-03-30,3,49,GEN01,MIL01,FAM02,3,"[3, 16, 4]",HOME02
132,131,이수진,RANK05,TYPE01,이수진.unknown132@company.com,1234,061-720-5213,서울특별시 송파구 송파동,2022-12-09,2,51,GEN01,MIL01,FAM02,1,[15],HOME01
73,72,이유진,RANK05,TYPE01,이유진.unknown073@company.com,1234,042-422-5005,서울특별시 금천구 독산동,2020-02-29,4,59,GEN02,MIL01,FAM02,3,"[18, 1, 4]",HOME01
444,443,김은경,RANK04,TYPE01,김은경.unknown444@company.com,1234,054-371-4334,서울특별시 은평구 수색동,2016-10-29,8,36,GEN01,MIL02,FAM01,0,[],HOME02
356,355,박준서,RANK04,TYPE01,박준서.unknown356@company.com,1234,043-793-6451,서울특별시 서초구 잠원동,2014-12-22,10,34,GEN02,MIL01,FAM01,0,[],HOME02
312,311,권옥순,RANK04,TYPE01,권옥순.unknown312@company.com,1234,02-9654-0958,서울특별시 서대문구 남가좌동,2021-10-01,3,39,GEN02,MIL01,FAM02,1,[6],HOME01
156,155,양서준,RANK04,TYPE01,양서준.unknown156@company.com,1234,016-737-5591,서울특별시 강서구 방화동,2018-07-25,6,30,GEN02,MIL01,FAM02,1,[10],HOME01
507,506,곽성민,RANK04,TYPE01,곽성민.unknown507@company.com,1234,016-517-1894,서울특별시 마포구 노고산동,2022-02-15,2,48,GEN02,MIL01,FAM01,0,[],HOME01
556,555,김지혜,RANK04,TYPE01,김지혜.unknown556@company.com,1234,016-252-4545,서울특별시 강동구 암사동,2021-05-15,3,47,GEN01,MIL01,FAM01,0,[],HOME02
548,547,강예준,RANK04,TYPE01,강예준.unknown548@company.com,1234,070-9774-9224,서울특별시 강동구 강일동,2017-04-06,7,44,GEN01,MIL01,FAM01,0,[],HOME02
667,666,권승현,RANK04,TYPE01,권승현.unknown667@company.com,1234,052-434-4386,서울특별시 강서구 내발산동,2016-09-19,8,24,GEN01,MIL02,FAM02,3,"[11, 13, 17]",HOME01
130,129,이지원,RANK04,TYPE01,이지원.unknown130@company.com,1234,02-0412-4748,서울특별시 양천구 신정동,2016-06-17,8,51,GEN01,MIL01,FAM01,0,[],HOME02
279,278,김영길,RANK04,TYPE01,김영길.unknown279@company.com,1234,062-952-0529,서울특별시 중구 초동,2023-01-06,1,43,GEN02,MIL01,FAM01,0,[],HOME01
259,258,박중수,RANK04,TYPE01,박중수.unknown259@company.com,1234,011-716-1875,서울특별시 관악구 중앙동,2021-03-04,3,60,GEN01,MIL01,FAM02,1,[11],HOME01
290,289,한동현,RANK03,TYPE01,한동현.unknown290@company.com,1234,017-153-2430,서울특별시 중랑구 신내동,2022-01-14,2,50,GEN01,MIL01,FAM01,0,[],HOME02
31,30,김지현,RANK03,TYPE01,김지현.unknown031@company.com,1234,070-0499-5406,서울특별시 성동구 홍익동,2022-07-13,2,40,GEN02,MIL01,FAM01,0,[],HOME02
461,460,이지민,RANK03,TYPE01,이지민.unknown461@company.com,1234,016-051-0314,서울특별시 성북구 동선동,2019-07-23,5,24,GEN02,MIL01,FAM01,0,[],HOME02
476,475,윤미정,RANK03,TYPE01,윤미정.unknown476@company.com,1234,043-162-9397,서울특별시 은평구 신사동,2020-07-09,4,55,GEN02,MIL01,FAM01,0,[],HOME01
688,687,박성훈,RANK03,TYPE01,박성훈.unknown688@company.com,1234,042-508-4813,서울특별시 금천구 독산동,2017-01-03,7,58,GEN02,MIL01,FAM02,2,"[17, 8]",HOME01
385,384,류경수,RANK03,TYPE01,류경수.unknown385@company.com,1234,031-303-5871,서울특별시 노원구 월계동,2021-07-27,3,48,GEN02,MIL01,FAM01,0,[],HOME02
37,36,김명숙,RANK03,TYPE01,김명숙.unknown037@company.com,1234,063-189-2731,서울특별시 마포구 공덕동,2015-09-19,9,42,GEN02,MIL01,FAM02,0,[],HOME01
135,134,이현우,RANK03,TYPE01,이현우.unknown135@company.com,1234,018-187-3847,서울특별시 강북구 미아동,2020-10-14,4,22,GEN01,MIL03,FAM01,0,[],HOME02
217,216,황서준,RANK02,TYPE01,황서준.unknown217@company.com,1234,052-147-8490,서울특별시 송파구 풍납동,2021-08-07,3,26,GEN01,MIL03,FAM01,0,[],HOME01
405,404,김예지,RANK02,TYPE01,김예지.unknown405@company.com,1234,02-0829-6651,서울특별시 중구 초동,2022-10-04,2,42,GEN01,MIL01,FAM02,2,"[4, 3]",HOME01
320,319,김성현,RANK02,TYPE01,김성현.unknown320@company.com,1234,018-943-8143,서울특별시 도봉구 방학동,2017-05-27,7,25,GEN02,MIL01,FAM02,3,"[8, 15, 5]",HOME02
514,513,오지훈,RANK02,TYPE01,오지훈.unknown514@company.com,1234,031-156-4757,서울특별시 양천구 신정동,2018-11-24,6,52,GEN02,MIL01,FAM02,0,[],HOME01
121,120,최성민,RANK02,TYPE01,최성민.unknown121@company.com,1234,02-8698-7977,서울특별시 성동구 왕십리동,2019-09-28,5,58,GEN02,MIL01,FAM02,0,[],HOME02
554,553,장영환,RANK02,TYPE01,장영환.unknown554@company.com,1234,016-938-3311,서울특별시 광진구 화양동,2024-06-26,0,49,GEN01,MIL01,FAM01,0,[],HOME02
